id,site.lat,site.lng,site.vs30,building.year_of_construction,building.num_stories,building.building_type_id,building.occupancy_id,building.total_area_ft,building.building_ht_ft,hazard.return_periods
SF201006.0046068,37.794816,-122.4073068,550,1907,4,C2b,7,6724,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016744,37.79394788,-122.4064745,275,1906,4,C1a,9,10692,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007607,37.79372712,-122.4064385,275,1907,4,C2a,9,20200,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0106215,37.79364713,-122.4063315,275,1907,4,C2b,1,4940,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007990,37.79351714,-122.4063265,275,1906,4,C2c,1,19476,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0048222,37.79346151,-122.4065216,275,1908,4,C1a,7,6632,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0015999,37.79345996,-122.4067947,275,1908,4,C2b,3,11032,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008508,37.79370928,-122.4075728,275,1915,4,C2b,7,18568,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0006568,37.79391117,-122.407616,275,1910,4,C2b,7,22344,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008601,37.7939543,-122.4071741,275,1908,4,C2b,7,18408,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0071151,37.79400494,-122.4070367,275,1908,4,C2a,7,5852,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011726,37.79401343,-122.4069114,275,1907,4,C1a,9,14228,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0015255,37.79385322,-122.4069678,275,1907,4,C1a,7,11460,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0155307,37.79355874,-122.4065405,275,1907,4,C2c,7,3088,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0137984,37.79362265,-122.4065323,275,1907,4,C2a,7,4044,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0017152,37.79405835,-122.4066402,275,1908,4,C2b,7,10496,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0156263,37.79378953,-122.4048231,275,1908,4,C1a,9,2944,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0153424,37.79372182,-122.4048092,275,1908,4,C1a,1,3256,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0146690,37.79364937,-122.4047905,275,1907,4,C2a,1,3684,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0026289,37.7936789,-122.4049224,275,1906,4,C2a,7,8300,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0069216,37.79364536,-122.4051577,275,1912,4,C1a,8,5904,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0149465,37.79363342,-122.4052268,275,1929,4,C2c,7,3516,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0133554,37.79362386,-122.4052939,275,1912,4,C1a,1,4184,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007175,37.79363114,-122.4055407,275,1908,4,C2a,7,21048,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0150367,37.793787,-122.4056656,275,1910,4,C2a,1,3456,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0089329,37.79406698,-122.4052678,275,1930,4,C2c,7,5368,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0097454,37.79406037,-122.4053549,275,1907,4,W2a,7,5160,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0019469,37.79411835,-122.4055887,275,1912,4,C2b,7,9708,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0066759,37.79399718,-122.4057337,275,1907,4,C2c,1,5976,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0021867,37.79399519,-122.405853,275,1908,4,C1b,2,9084,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0027198,37.79392107,-122.4060362,275,1907,4,C2a,1,8180,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0041161,37.79399701,-122.4060539,275,1907,4,C1a,9,6976,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0012891,37.79417546,-122.4059267,275,1907,4,C2a,7,13156,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0125887,37.79419622,-122.4056752,275,1929,4,C1a,7,4424,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0031634,37.79421948,-122.4055139,275,1910,4,C2a,9,7680,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0057480,37.79424214,-122.4053036,275,1909,4,C1a,7,6272,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0118864,37.7937592,-122.4057387,275,1907,4,C2a,7,4624,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0088969,37.79357705,-122.4057022,275,1906,4,C2c,7,5376,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0018592,37.79381734,-122.4038208,275,1909,4,C2b,9,9980,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0127826,37.79379023,-122.4040552,275,1910,4,C2b,7,4368,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0148052,37.79370586,-122.4044346,275,1909,4,C1a,9,3604,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008563,37.79424043,-122.4043698,275,1909,4,C2b,7,18480,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0153776,37.79411608,-122.4045422,275,1908,4,C2b,1,3232,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0072791,37.79436635,-122.4042622,275,1907,4,C1a,9,5804,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0060771,37.79438492,-122.4041788,275,1906,4,C2c,9,6160,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007851,37.79429863,-122.4040736,275,1906,4,C2b,7,19752,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011428,37.79433048,-122.4039482,275,1910,4,C1b,7,14560,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0005249,37.79412929,-122.4020698,275,1925,4,C2b,,26996,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009333,37.79409097,-122.4025661,275,1985,4,C1b,9,17236,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0109587,37.79441258,-122.4025621,275,1907,4,C2a,1,4856,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000792,37.7948179,-122.3997481,275,1970,4,S1a,1,118668,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0031203,37.7939525,-122.3967023,275,1912,4,C1b,9,7720,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0024470,37.79401957,-122.3994596,275,1923,4,C2c,1,8592,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008888,37.79359339,-122.4031397,275,1907,4,C1b,1,17936,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016295,37.79270572,-122.4054896,275,1966,4,C2b,9,10892,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008995,37.79326541,-122.4058848,275,1907,4,C2b,7,17772,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0029339,37.79322239,-122.4057066,275,1907,4,W2a,7,7920,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016775,37.79321611,-122.4055559,275,1924,4,S2a,7,10680,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016910,37.79321202,-122.4061976,275,1908,4,C2a,1,10616,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0019373,37.79305927,-122.4074931,275,1906,4,C1b,7,9736,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0099792,37.79284183,-122.4071567,275,1931,4,C2c,7,5100,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0115019,37.79292395,-122.4071721,275,1928,4,C1a,11,4724,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008271,37.79317614,-122.4064936,275,1908,4,C2a,7,18972,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008179,37.79278306,-122.4061814,275,1907,4,W2a,9,19124,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008042,37.79164946,-122.4059643,800,1908,4,C1a,7,19388,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0012653,37.79162102,-122.4061995,800,1915,4,C1b,7,13368,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0099535,37.79163642,-122.4055913,800,1910,4,W2a,1,5108,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0141696,37.79169572,-122.4055981,800,1909,4,S2b,7,3916,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0029058,37.79177285,-122.4056177,800,1908,4,C1b,9,7956,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0117739,37.79185516,-122.4056208,800,1910,4,C1a,9,4656,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0040003,37.79192933,-122.4056441,800,1910,4,C2a,1,7040,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0139940,37.79207304,-122.405674,800,1906,4,W1a,9,3980,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0144024,37.79212826,-122.4056836,800,1921,4,C1b,1,3820,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0073860,37.79227885,-122.4057669,800,1909,4,S2b,9,5776,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0021040,37.79239545,-122.4012511,275,1908,4,C1a,1,9260,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002410,37.79183406,-122.3992964,275,1908,4,C2a,10,50360,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009671,37.79181793,-122.399943,275,1918,4,C1a,1,16768,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002868,37.79182077,-122.4012557,275,1909,4,S2b,9,43432,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0137842,37.79128006,-122.4038914,275,1906,4,C1a,1,4052,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0092196,37.79133556,-122.4039026,275,1907,4,C2b,9,5292,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009196,37.79153412,-122.4039505,275,1908,4,C2b,1,17460,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0059598,37.79115954,-122.4042982,275,1907,4,C1a,1,6196,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0077768,37.79106601,-122.4042969,275,1912,4,C2b,9,5672,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0131094,37.79099753,-122.4042838,275,1907,4,C1b,9,4264,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0027586,37.79090056,-122.4042496,275,1910,4,C2a,9,8132,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002660,37.79110059,-122.4045215,275,1915,4,C2a,8,46356,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011280,37.79124115,-122.4061326,800,1950,4,C1a,1,14740,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0032960,37.7910223,-122.4070234,800,1922,4,C1b,7,7556,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0013302,37.7911599,-122.4070785,800,1923,4,C2b,7,12796,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008797,37.79120484,-122.4065794,800,1924,4,C2c,8,18088,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0041750,37.79062371,-122.4067167,800,1992,4,C1b,7,6940,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009408,37.79035187,-122.4057887,275,1907,4,C1a,7,17116,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0023052,37.79041218,-122.4041897,275,1908,4,C2c,1,8852,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0023100,37.79031339,-122.404168,275,1907,4,C2a,1,8840,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0057890,37.79002014,-122.4041083,275,1907,4,C2a,1,6256,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002272,37.79048881,-122.4008839,275,1983,4,S2b,1,53020,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0070106,37.78998929,-122.4008994,275,1908,4,S1a,1,5880,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016644,37.78993265,-122.4010374,275,1907,4,S1a,9,10732,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001720,37.7894813,-122.4024567,275,1921,4,S2a,1,65840,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002695,37.78924694,-122.4024142,275,1908,4,S2a,1,45800,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000985,37.78950475,-122.4030335,275,1983,4,S1a,1,100112,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0005978,37.78946081,-122.4027713,275,1980,4,S1b,1,24200,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0157281,37.78948515,-122.405539,275,1907,4,C2c,1,2744,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0158585,37.78941793,-122.4055283,275,1907,4,C2c,9,2476,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0156549,37.78934788,-122.4055138,275,1907,4,C2b,1,2884,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0003886,37.78886819,-122.4059146,275,1909,4,C2a,9,33712,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002670,37.78883445,-122.4061929,275,1908,4,C2a,9,46224,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0014086,37.78790761,-122.4059182,275,1907,4,C2c,9,12224,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0018555,37.78789864,-122.4059976,275,1907,4,C2c,9,9988,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0100722,37.78786963,-122.4064053,275,1909,4,C1b,9,5076,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008734,37.78868675,-122.403854,275,1969,4,C2a,1,18172,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0078745,37.78832441,-122.4049023,275,1909,4,C2a,9,5644,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0017641,37.788413,-122.4049172,275,1908,4,C2a,9,10312,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008250,37.78812193,-122.4042776,275,1907,4,C2c,9,19008,43,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0033167,37.78532261,-122.4035215,275,1939,4,C1a,1,7540,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000580,37.78655155,-122.4030505,275,1983,4,S2b,6,141940,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0037559,37.78599892,-122.4050815,275,1989,4,C2a,6,7196,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001185,37.78600303,-122.403646,275,2008,4,S2a,6,86436,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0041967,37.78822893,-122.4004205,275,1907,4,C1a,9,6928,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0033676,37.78817911,-122.4003565,275,1908,4,C1a,1,7496,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0012339,37.78726067,-122.4011097,275,1906,4,C2b,1,13652,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0019716,37.78979902,-122.3980487,275,1908,4,C2c,9,9628,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016694,37.78900148,-122.399906,275,1909,4,C2c,1,10712,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0004830,37.78940618,-122.4005157,275,1907,4,C2c,1,28836,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0006070,37.79332685,-122.3927368,180,1889,4,RM2a,1,23928,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011649,37.78951164,-122.3950395,180,1995,4,W2a,1,14312,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007362,37.78811249,-122.3971155,180,1908,4,C2b,1,20644,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0023099,37.78742329,-122.3986601,275,1906,4,C1a,1,8840,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0005257,37.78707085,-122.3993894,275,1910,4,C1a,9,26952,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009988,37.78595306,-122.3998621,275,1907,4,C2b,1,16300,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0017850,37.78610495,-122.3999035,275,1909,4,C1b,10,10232,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0017673,37.7869805,-122.3988805,275,1907,4,C2a,1,10300,46,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011794,37.78578873,-122.3998427,275,1906,4,C1b,1,14164,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002202,37.78493163,-122.4014506,275,1909,4,C2c,,54392,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001237,37.78603658,-122.3985283,275,1929,4,C2b,1,84064,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0004369,37.78554012,-122.3970855,275,1900,4,S1a,1,31068,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001738,37.78526162,-122.3975558,275,1922,4,C2b,1,65340,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011454,37.78615795,-122.3962746,275,1912,4,C2a,1,14528,42,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0009304,37.78669725,-122.3977208,275,1906,4,C1b,1,17288,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0027465,37.78705875,-122.3974666,275,1907,4,C2b,10,8148,53,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0045625,37.78777492,-122.3965638,180,1906,4,C2a,1,6744,50,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0043957,37.7881238,-122.3930464,180,2000,4,S2b,7,6824,49,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000526,37.78730271,-122.3922018,180,1916,4,W2a,,151144,45,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0006042,37.78708489,-122.393629,180,1929,4,S1b,7,24020,47,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0158610,37.78693741,-122.3931486,180,1900,4,S2b,11,2472,48,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0018571,37.78641659,-122.3942735,275,1907,4,W2a,7,9984,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002557,37.78566983,-122.3940158,800,1995,4,S2c,7,47976,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0015007,37.78637229,-122.3947256,275,1996,4,S1b,7,11620,51,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000534,37.78596751,-122.3921788,800,1901,4,W2a,7,150516,52,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0165633,37.78750177,-122.3902469,800,1991,4,S1a,7,1092,44,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0015259,37.79589827,-122.406852,550,1907,3,RM2a,9,8592,38,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0033729,37.79582204,-122.4068519,550,1908,3,RM2a,9,5619,37,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0037741,37.79571618,-122.4068297,550,1908,3,C1a,9,5388,38,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0025947,37.79566745,-122.4068126,550,1907,3,C2b,9,6264,39,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0013944,37.79526871,-122.4066426,550,1906,3,RM2a,7,9246,38,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0152799,37.795206,-122.4067243,550,1922,3,RM2a,7,2472,41,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0016727,37.79521933,-122.4072167,550,1907,3,RM2a,7,8025,36,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0099508,37.79549204,-122.407475,550,1910,3,RM2a,7,3831,35,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0011869,37.79560741,-122.4074876,550,1908,3,RM2a,7,10572,34,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0061441,37.79568249,-122.4079681,550,1925,3,RM2a,9,4602,36,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0008693,37.79572621,-122.4077231,550,1907,3,W2a,7,13683,37,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0093566,37.79552903,-122.40721,550,1907,3,RM2a,11,3945,41,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0022190,37.79562102,-122.4072352,550,1907,3,RM2a,7,6765,37,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0040521,37.79580336,-122.4073183,550,1907,3,RM2a,9,5256,36,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0014783,37.79577419,-122.4072369,550,1907,3,RM2a,7,8826,39,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0010880,37.79570937,-122.4070882,550,1907,3,RM2a,7,11406,41,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0007840,37.79580278,-122.4053374,550,1913,3,RM2a,6,14829,38,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0014975,37.79547519,-122.4057644,550,1909,3,C2c,1,8727,34,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0013161,37.79542764,-122.4058653,550,1907,3,RM2a,9,9690,39,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0019259,37.79539027,-122.4059732,550,1907,3,C1a,9,7323,41,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0150621,37.79593566,-122.4062591,550,1906,3,C2c,1,2580,30,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0026313,37.79592975,-122.4063608,550,1905,3,C2c,1,6222,39,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0151254,37.79548382,-122.4061904,550,1907,3,RM2a,11,2547,38,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0019929,37.79557324,-122.4059613,550,1907,3,RM2a,7,7173,39,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
